,Diện tích,Số tầng,Đường vào,Loại đường vào,loai_duong_null_flag,duong_vao_null_flag,hem_xe_hoi,gan_cho_sieu_thi,gan_truong_hoc,gan_benh_vien,gan_cong_vien_ho_nuoc,Tổng số phòng,Pháp lý_Sổ đỏ,Pháp lý_không có,Nội thất_Cơ bản,Nội thất_Trống / Nhà thô,Nội thất_Đầy đủ,Quận_encoded
173,40.0,4,,3.0,0,1,1,0,0,0,0,7,1.0,0.0,0.0,1.0,0.0,44.69026545333514
174,72.0,4,4.0,2.0,0,0,1,0,0,0,0,10,0.0,0.0,0.0,0.0,1.0,44.69026545333514
175,33.0,5,3.0,2.0,0,0,1,0,0,0,0,9,0.0,0.0,1.0,0.0,0.0,18.781854189609117
176,32.0,2,3.0,3.0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,1.0,11.524548031698988
177,205.0,4,25.0,3.0,0,0,0,0,0,0,1,10,0.0,0.0,0.0,1.0,0.0,17.640442397803668
178,60.0,5,6.0,2.0,0,0,1,1,0,0,0,9,0.0,0.0,0.0,1.0,0.0,11.23594537682606
179,90.0,4,12.0,0.0,1,0,1,0,0,0,0,11,0.0,0.0,1.0,0.0,0.0,11.23594537682606
180,83.0,3,12.0,0.0,1,0,1,1,1,0,0,9,0.0,0.0,0.0,0.0,1.0,24.61294356994541
181,55.0,1,4.0,2.0,0,0,1,1,0,0,0,5,0.0,0.0,0.0,1.0,0.0,8.442832785570205
182,84.0,5,20.0,0.0,1,0,1,0,0,0,0,12,0.0,0.0,1.0,0.0,0.0,11.524548031698988
183,36.0,5,4.0,3.0,0,0,1,0,0,0,0,9,0.0,0.0,0.0,0.0,1.0,9.226974492834636
184,97.0,3,6.0,0.0,1,0,1,0,1,0,0,8,0.0,0.0,0.0,0.0,1.0,11.23594537682606
185,91.0,1,6.0,0.0,1,0,1,0,1,0,0,4,0.0,0.0,1.0,0.0,0.0,17.640442397803668
186,52.0,5,4.0,2.0,0,0,1,1,1,1,0,8,0.0,0.0,1.0,0.0,0.0,17.074597659317714
187,30.0,3,4.0,3.0,0,0,1,0,0,0,0,7,0.0,0.0,0.0,0.0,1.0,44.69026545333514
188,63.0,3,6.0,2.0,0,0,1,1,1,1,0,7,0.0,0.0,0.0,0.0,1.0,15.25688957809374
189,57.0,3,4.0,0.0,1,0,1,0,1,0,0,9,0.0,0.0,0.0,0.0,1.0,8.300633551777777
190,102.0,1,,3.0,0,1,0,0,0,0,0,3,0.0,0.0,0.0,1.0,0.0,8.442832785570205
191,82.0,3,4.0,3.0,0,0,1,0,0,0,0,9,0.0,0.0,1.0,0.0,0.0,15.25688957809374
192,58.0,3,6.0,3.0,0,0,1,1,0,0,0,8,0.0,0.0,0.0,1.0,0.0,9.635508099625392
193,64.0,5,,3.0,0,1,0,0,0,0,0,13,0.0,0.0,0.0,1.0,0.0,22.79348057598528
194,83.0,2,4.0,0.0,1,0,0,0,0,0,0,2,0.0,0.0,1.0,0.0,0.0,12.664127058271283
195,212.0,1,10.0,0.0,1,0,0,0,0,0,0,4,0.0,0.0,0.0,1.0,0.0,11.23594537682606
196,190.0,4,12.0,3.0,0,0,0,0,1,1,0,10,0.0,0.0,0.0,1.0,0.0,11.23594537682606
197,85.0,3,6.0,2.0,0,0,1,1,0,0,0,6,0.0,0.0,0.0,1.0,0.0,13.674404235916532
198,57.0,2,3.0,2.0,0,0,1,0,0,0,0,4,0.0,0.0,0.0,1.0,0.0,9.226974492834636
199,44.0,2,,0.0,1,1,0,1,1,1,1,5,0.0,0.0,0.0,0.0,1.0,15.25688957809374
200,93.0,2,,0.0,1,1,1,0,0,0,0,11,0.0,0.0,0.0,1.0,0.0,18.781854189609117
201,56.0,3,5.0,2.0,0,0,1,1,1,0,0,6,0.0,0.0,1.0,0.0,0.0,17.074597659317714
202,483.0,5,4.0,3.0,0,0,0,0,0,0,0,10,0.0,0.0,0.0,1.0,0.0,18.781854189609117
203,52.0,3,5.0,0.0,1,0,1,0,1,1,0,7,0.0,0.0,0.0,0.0,1.0,8.442832785570205
204,66.0,5,,3.0,0,1,0,0,0,0,0,12,0.0,0.0,0.0,0.0,1.0,17.074597659317714
205,55.0,5,5.0,2.0,0,0,1,1,0,0,0,8,0.0,0.0,0.0,0.0,1.0,12.664127058271283
206,257.0,5,12.0,3.0,0,0,0,0,0,0,0,56,0.0,0.0,0.0,1.0,0.0,15.25688957809374
207,55.0,5,5.0,2.0,0,0,1,1,0,0,0,8,0.0,0.0,0.0,0.0,1.0,11.23594537682606
208,102.0,1,10.0,0.0,1,0,1,0,1,0,0,3,0.0,0.0,1.0,0.0,0.0,12.664127058271283
209,74.0,4,12.0,3.0,0,0,1,0,0,1,0,7,0.0,0.0,1.0,0.0,0.0,24.61294356994541
210,153.0,1,30.0,3.0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,1.0,0.0,9.618653544659924
211,75.0,4,,3.0,0,1,1,0,0,0,0,11,0.0,0.0,0.0,1.0,0.0,17.074597659317714
212,32.0,4,5.0,2.0,0,0,1,0,0,0,0,7,0.0,0.0,0.0,0.0,1.0,15.25688957809374
213,74.0,2,,0.0,1,1,1,0,0,0,0,5,0.0,0.0,0.0,1.0,0.0,22.79348057598528
214,196.0,2,10.0,0.0,1,0,1,0,0,0,0,25,0.0,0.0,1.0,0.0,0.0,13.674404235916532
215,140.0,4,,0.0,1,1,0,0,0,0,0,17,0.0,1.0,0.0,1.0,0.0,24.61294356994541
216,64.0,2,,0.0,1,1,0,0,0,0,0,4,0.0,0.0,1.0,0.0,0.0,8.442832785570205
217,72.0,4,6.0,3.0,0,0,0,0,0,0,0,9,0.0,0.0,0.0,1.0,0.0,15.25688957809374
